sentence	label
please share this one pallies httpAddress	1
httpAddress in a #nepalearthquake like situation nothing except satellite based handheld amp ; portable devices work to communicate ready ??	0
rt usrId so many after httpAddress people are still out of httpAddress hospital situation is too httpAddress #nepal #earthquake	1
rt usrId nepal earthquake report the rescue and recovery work is continuing after the devastating 7.8 on httpAddress httpAddress	1
rt usrId uk will deploy D usrId chinook helicopters to help supplies amp ; people travel quickly to and from #nepals re	1
this is nuts httpAddress	0
rt usrId police in nepal reporting DD have now died in the #nepalearthquake httpAddress	1
rt usrId wait ? there was a devastating earthquake in nepal with over 4 00 estimated dead ? at least cnn knows it s important that	1
israel sends delegation to nepal jerusalem afp israel was sending a delegation to nepal to determine httpAddress httpAddress	1
rt usrId we re providing an additional 9 million in assistance for the #nepalquake emergency response httpAddress httpAddress	1
#nepalearthquake how to help #donate to international red httpAddress ifrc usrId .. via usrId fundraiser httpAddress	1
un launches nepal earthquake appeal httpAddress	1
usrId rt mother amp ; sons r missing in httpAddress ph no 9815914687 mother s no 009779803658023 do spread it a f httpAddress	1
nepal map #nepalmap nepal earthquake devastation in maps and images update ontario can oshawa httpAddress httpAddress	0
earthquake survivors in nepal urgently need httpAddress make an emergency donation to usrId httpAddress #nepalearthquake via usrId	1
rt usrId to support the response to #nepalquake contact the redcross or redcrescent in your country or donate through us at httpAddress	1
rt usrId death toll from devastating #nepalearthquake now tops httpAddress approx 6 00 httpAddress simply httpAddress	1
httpAddress httpAddress	0
rt usrId our monthly #charity dress down day is httpAddress we will be raising money for the #nepalearthquake httpAddress	1
rt usrId on cm usrId directives team to leave today to assist back states people from quake hit httpAddress new delhi bas	1
my sincere condolences for your loss #nepal and #india ! #pak #govt and #pakarmy #airforce ready to take part in rescue operation #bigheart	1
DD #ndrf national disaster response force teams form #india ready to be deployed in httpAddress	1
rt usrId please donate for kathmandu httpAddress nepal earthquake relief fund https httpAddresshttpAddresst . cohttpAddressvdfnjxjbdi usrId usrId usrId	1
studios scrutinize disaster film marketing in wake of nepal los angeles ap in light of the nepal httpAddress httpAddress	1
rt usrId praying for victims of the earthquake in httpAddress httpAddress help usrId raise relief money by donating here httpAddress	1
nepal collecting donations in kind collecte de dons en nature httpAddress httpAddress	1
we are asking for anyone s help to try and locate or provide information about httpAddress hogg who was at one of the base camps in httpAddress	1
rt usrId #indiawithnepal more details on india s relief and rescue efforts to nepal under #operationmaitri httpAddress	1
sushmaswaraj pl rt indian embassy in #kathmandu #kathmanduquake helplines httpAddress 977 9851107021 9851135141	1
rt usrId lucknow up government sends DD trucks carrying relief material to the affected in #nepalearthquake httpAddress	1
nepal quake ngo report had warned of damage cited population growth httpAddress via usrId #nepal #ngo	0
rt usrId #msu students painted the rock in honor of nepal amp ; raised funds to aid earthquake httpAddress httpAddress turner httpAddress	1
our hearts amp ; prayers out to our friends in httpAddress httpAddress	0
rt usrId join jack in supporting #nepalearthquake relief and recovery httpAddress please consider making a donation today httpAddress	1
rt usrId httpAddress #nepal nepal villages cut off by earthquake wait for aid as death toll passes DD nepal vi httpAddress	1
httpAddress retweet especially to the nepali folks working httpAddress	1
rt usrId #nepal #struggles to #recover the httpAddress httpAddress	1
wholeheartedly we support f b #prayfornepal httpAddress	1
rt usrId rushing to nepal to help may be a bad idea ; stay put and donate money instead httpAddress httpAddress	1
rt usrId calling all doctors on my tl . team moving within a week to nepal for relief httpAddress please revert if you want to join in . rt to	1
c 130 aircraft leaves for kathmandu to rescue DD pakistanis .	1
#openfollow singapore prepares to send 55 man search and rescue team to nepal the straits times httpAddress #singapore	1
hope everyone emerge unharmed #nepalearthquake #nepalquake	1
as v cozy up D call it a night lets not Dget D pray D d 1D00 souls whc lost thr lives amp ; d thousands othr rendered httpAddress #nepalearthquake	1
#nepalearthquake #helplines for those searching httpAddress httpAddress	1
video shows drone footage of damage to katmandu httpAddress	0
let us pull together for httpAddress unbelievable devastation and airport runway is very httpAddress please give to a good charity for these people	0
british archeologist terrified after narrowly escaping death in nepal earthquake httpAddress httpAddress	1
international rescue teams on their way to nepal httpAddress #casper #cheyenne #denver #billings #rapidcity #seattle #jackson	1
rt usrId please don t donate money to any news channel or ngo to help httpAddress wait D appropriate link usrId provide	1
httpAddress gt ; gt ; nepal s landmarks before and after quake gt ; gt ; httpAddress	0
uk aid leaves for nepal on raf plane an raf flight carrying uk aid and british army gurkhas is flying to httpAddress httpAddress	1
if a man feels he was born as the wrong gender that s fine but making headlines before nepal s need for aid really shows how stupid we are	1
rt usrId #nepalearthquake emergency why digital #humanitarian response matters amp ; how you can httpAddress httpAddress usrId httpAddress	1
rt usrId people of #nepal urgently need clean water shelter amp ; medical httpAddress donate httpAddress #nepalquake httpAddress	1
rt usrId live updates dss volunters r ready to help to nepal aftr devastating quake usrId #msghelpearthquakevictims htt	1
rt usrId lets keep our thoughts and prayers to our fellow human beings who are in httpAddress they need all the support they can get at a t	1
hope that 200 odd #communityradio stations are helping out with the #nepalearthquake fm stations are usually last man standing	1
thought amp ; httpAddress httpAddress	1
keeping nepal and baltimore in prayer tonight #hestheprinceofpeace #hisheartisforeveryone	1
pray for httpAddress	1
rt usrId what a great show of httpAddress #belfast stands together in vigil for victims of #nepalearthquake httpAddress http	1
rt usrId appreciate d initiative taken by usrId to help nepal this is what makes a nation httpAddress our moral authority g	1
one of my #colleague s #home in #nepal after the httpAddress his #family is currently living in a httpAddress	0
rt usrId really proud of the indian govt amp ; indian air force for their all out support to nepal at this hour of grief and httpAddress #n	1
nepal earthquake nine new zealanders still unaccounted for httpAddress via usrId	1
tragedy in nepal reminded my of going to everest base camp with this guy chris i filmed lots of this ! httpAddress	1
usrId you in nepal ??	1
our all nations stand with nepal and indians #nepalearthquake	1
hearts out to httpAddress	1
rt usrId #google #facebook join red cross to find thousands missing after nepal quake httpAddress httpAddress	1
20 00 rss workers have reached nepal	1
rt usrId #nepalearthquake give to tcpi s emergency relief httpAddress 100 goes to the httpAddress #tcpinepal httpAddress http	1
rt usrId took stock of the evacuation of those stranded in httpAddress also took stock of provision of relief supplies amp ; material to af	1
httpAddress looking for #volunteers to translate #nepalese or #bhasa for httpAddress email httpAddress	1
my god httpAddress	0
oh my god httpAddress	0
usrId cody walter 6 4 tall #canadian hiking in #langtang near tibetan httpAddress #nepalearthquake #help httpAddress	1
total httpAddress hit by severe shaking in #nepal with moderate to heavy damage likely httpAddress people httpAddress	0
#nepal needs our httpAddress please consider joining us in donating to usrId httpAddress via usrId	1
rt usrId f e for the people of httpAddress	1
rt usrId urgent online support for #nepal needed #mapping #gis skills necessary httpAddress spread the word #nepalearthqua	1
rsaf planes evacuate DD sporeans prs from kathmandu todayonline httpAddress	1
int l aid groups rush to reach nepal quake victims paris afp international aid groups rushed to respond httpAddress httpAddress	1
thousands flee kathmandu as india steps up relief efforts in nepal the number of deaths in saturday s httpAddress httpAddress	1
rt usrId many people killed and injured in powerful quake in nepal scores of people have been killed and many injured .. httpAddress	1
rt usrId residents queue up at usrId relief camp in quake ravaged httpAddress DD people provided aid in this httpAddress httpAddress	1
rt usrId death toll in #nepalearthquake crosses httpAddress over DD injured #kathmanduquake #avalanche #indiawithnepal	1
rt usrId rss 2nd senior most functionary dattatreya hosable personally supervising relief operations in httpAddress httpAddress	1
rt usrId very heavy httpAddress our thoughts and prayers with families in nepal impacted by httpAddress help us httpAddress link httpAddress	1
rt usrId rt usaid usrId we ve activated a usrId urban search amp ; rescue team to deploy httpAddress dart to help in #nepaleart	1
rt usrId catching up on the httpAddress the vids amp ; photos of the aftermath of #nepalearthquake is httpAddress they need our help htt	1
pray for nepal #rightnow #prayfornepal httpAddress	1
usrId hi sir httpAddress please me share httpAddress httpAddress	0
rt usrId these are the moments when you fear your own httpAddress you stay away from it . it s a very strange httpAddress #nepalearhquake #kathm	1
rt usrId india has demonstrated its global leadership in recent weeks 1st in yemen amp ; now in httpAddress we re grateful us envoy httpAddress	1
#prayers go out to the victims and family of #nepal	1
rt usrId if you wish to donate for #nepalearthquake you can do so through prime ministers relief fund or through httpAddress	1
aerial images show quake damage httpAddress	0
rt usrId have you been thinking about how to help the earthquake victims in nepal ? here s one httpAddress	1
in post quake aid rush nepal neighbors jockey for position washington post httpAddress in httpAddress	1
please share ! httpAddress	1
photo #supportnepal in this time of httpAddress #prayfornepal to give them httpAddress #himalaya httpAddress httpAddress	1
think of nepal over DD daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is	1
#nepal #earthquake #2015 #facebook #safety #check #allows #users #to #confirm well being httpAddress	1
rt usrId extremely heart wrecking to learn that more than DD people are dead in nepal httpAddress their souls rest in peace #earthquake	1
rt usrId we ll also have donation boxes in httpAddress you can give to usrId for the #nepalearthquake here httpAddress	1
nepal will rise again httpAddress	1
rt usrId my heart breaks for the people of nepal	1
rt usrId wiltshire rescue team heads to site of nepal earthquake expert volunteer rescuers from wiltshire rescue httpAddress http	1
this nepal earthquake survivor was buried for DD hours before being rescued httpAddress	1
rt usrId my son has been found alive and is ok ! he and all of the other monks and guru are ok ! #nepalearthquake	1
rt usrId there are 40 00 gorkha soldiers in #indianarmy amp ; httpAddress lakh retired gorkha regiment soldiers in #nepal #ne	1
nepal #earthquake looks very httpAddress they ll recover httpAddress	1
buy this usrId album all funds raised support the red cross relief fund for victims of the nepal earthquake httpAddress	1
rt usrId my birthday is tomorrow and people in nepal need a gift more than i do please read this and donate httpAddress	1
usrId what affects one affects httpAddress #withyoualltheway #nepalearthquake #staystrongnepal #nepal	1
rt usrId #breaking #update death toll of #nepalearthquake updated to 1 832 says nepals home httpAddress httpAddress	1
rt usrId thoughts and prayers going out to the people of nepal f 4 httpAddress	1
rt usrId shiromani gurudwara prabandhak commitie will send DD food packets from today to #nepal #indiawithnepal httpAddress	1
tragic events #prayfornepal httpAddress	1
rt usrId thinking of all in #nepalquake	1
phone lines are down electricity is out roads are blocked #do #uddhavtimilsina #gorkhadistrict #nepal	0
rt usrId usrId spread the word ! nepal earthquake fundraising event ! bank holiday mon 4th may 1 3pm free kids drop in ! htt	1
rt usrId #nepalquake we will assess the devastating impact on nepals cultural heritage #worldheritage httpAddress httpAddress	0
rt usrId in support to the population impacted by the recent earthquake in nepal we have decided to offer free calls to nepal for th	1
rt usrId all usrId members and exchange participants are safe after the nepal httpAddress you can donate to charities here httpAddress	1
rescuers struggle to reach villages as death toll from nepal #earthquake hits 3 600 httpAddress httpAddress	1
usrId i must say we are quite lucky coz gorkha and villages nearby are adversely httpAddress has been lost and roads httpAddress	0
rt usrId thousands of nepal earthquake survivors need our httpAddress donate now and facebook will match your httpAddress httpAddress	1
rt usrId we ve closed the #loveroflife contest due to massive earthquake in nepal and httpAddress we pray for the well being of affecte	1
rt usrId my heart is broken over the loss of DD people in nepal death of freddie gray beheading of coptic christians n httpAddress w	1
#nepalearthquake terrible httpAddress	1
rt usrId more powerful magnitude 6.7 aftershock rattles kathmandu area of nepal a day after devastating earthquake httpAddress	0
rt usrId roads are so damaged in nepal it took a cnn crew two hours to go DD miles a major challenge for rescue and aid httpAddress	0
rt usrId usrId before and after photos of nepal show the effect of a deadly earthquake httpAddress	0
rt usrId httpAddress recovered and still DD are httpAddress furthermore isis is killing people every httpAddress yesterday i saw a photograph o	1
raffle tickets are being sold at #juiceit2015 to win a httpAddress proceeds will be going to #nepalquakerelief httpAddress	1
rt usrId the elca is already responding for the people of httpAddress read more httpAddress httpAddress #elca	1
rt usrId over DD volunteers tracing thousands of kms of mountain roads and trails for nepal right now on httpAddress #nepa	1
a picture of despair emerges in nepal a nation in economic disarray well before an quake httpAddress httpAddress httpAddress	0
just saw what happened in httpAddress my love and prayers go out to the people who didn t survive and their httpAddress #prayingfornepal f f	1
earthquake levels nepals beautiful historic buildings httpAddress #occupy #ows #occupywallstreet #occupyhq #grassroots #usa #	0
rt usrId usrId thanks for ur prayers ! we really need it atm #my #country #my #pride #my # nepal f c	1
rt usrId looking for a way to do something for survivors of #nepalquake ? join my friends usrId amp ; give lifesaving httpAddress xo httpAddress	1
praying for httpAddress #prayfornepal #godblessusall	1
ham radio attempts to fill communication gaps in nepal rescue effort httpAddress #tcot	1
rt usrId miracles do happen ! baby pulled fr #quakenepal rubble httpAddress	1
rescue crew pulls survivor from rubble D days after nepal quake quake survivor drank urine while trapped in httpAddress	1
#teamyamita reporter s notebook grace and hope found amid the destruction of nepal httpAddress httpAddress unete a #teamyamita	1
photo house in nepal destroyed by earthquake usrId httpAddress	0
rt usrId indian pm narendra modi speaks to nepal pm sushil httpAddress offers all assistance for httpAddress india army air force on st	1
rt usrId #expressfrontpage #earthquake explained how bad is the damage ? how prepared was nepal ? httpAddress httpAddress	0
almost one million children in urgent need of aid after nepal earthquake httpAddress #jnj #globalmotherhood via usrId	1
massive disaster #nepalquake httpAddress	1
my small contribution to my country via httpAddress #indiawithnepal usrId usrId usrId usrId	1
httpAddress httpAddress	1
rt usrId list of banks in nepal that are httpAddress #nepalquakerelief #nepalquake usrId httpAddress	0
rt usrId big #earthquake reported in #nepal usrId team in country holding emergency meeting to assess httpAddress	1
rt usrId dan fredinburg an engineer at google died on mount everest during the avalanche caused by the earthquake in nepal httpAddress	1
rt usrId amazing story of survival rescuers find baby buried under rubble in nepal for DD hrs alive httpAddress httpAddress	1
condolences go out D u httpAddress all r wid u httpAddress hs alwys bn amp ; wl b our gd httpAddress rdy to hlp u guys as said by our pm usrId	1
rt usrId 3 700 people dead is absolutely devastating for a country that is the size of oklahoma on the httpAddress #nepal	1
rt usrId can somebody suggest me a group or charity who can help us ; we are trying to help as much as we can from abroad ! #nepalquake	1
never ending peace and love #nepalearthquake httpAddress	1
let s pray for httpAddress	1
rt usrId nepal update insights zur abreise unseres srk teams nach #katmandu #nepal #nepalquake #redcrescent httpAddress	1
rt usrId missing raisaa tashnova talked to mom on day of nepal httpAddress hasn t been heard from since httpAddress httpAddress	1
DD dead bodies found in #everest base camp #earthquake #nepal	1
rt usrId we ve just launched a 50m appeal to get more lifesaving aid to children amp ; families affected by #nepalearthquake httpAddress	1
aircraft taking of from sthlm this morning to nepal w tents medical food water etc #teliasonera #ncell #nepal httpAddress	1
rt usrId ubisoft s far cry dev team will donate up to 100 00 to support relief efforts in httpAddress httpAddress httpAddress	1
organo gold D ways to make sure your nepal donations really help the victims time httpAddress httpAddress	1
rt usrId 4 26 15 nepals hospitals swamped as quake toll passes 2 400 thousands injured #reuters httpAddress http	1
a full truckload relief materials despatched to chhatri ganv dadhing of nepal by all lions clubs of birganj httpAddress httpAddress	1
httpAddress httpAddress	1
join us as we pray for httpAddress httpAddress	1
rt usrId my heartfelt condolences to the families who have lost their dear and near ones in the earthquake today in india and n	1
rip to the google executive #danfredinburg killed in the everest avalanche after #nepalearthquake #prayfornepal	1
horrible news to wake up to . #prayfornepal	1
breaks my httpAddress 4 httpAddress	0
rt usrId #nepal is a very poor country facing its worst #earthquake in httpAddress they desperately need your help httpAddress #donate httpAddress	1
frightful images ! our prayers echo for everyone httpAddress #earthquake #indiawithnepal httpAddress	1
my prayers are with all who are suffering #nepalearthquake	1
rt usrId canada s c17 to arrive in #nepal httpAddress bringing aid in . taking canadians httpAddress httpAddress	1
rescuers help injured residents to get to safe area #nepalquake #humanity httpAddress	1
thoughts and prayers going out to residents of kathmandu and those affected by the quake in nepal httpAddress	1
rt usrId uk dog teams at delhi whilst on route to nepal httpAddress	1
our deeply condolences to nepal s lost and disaster #nepalearthquake	1
rt usrId massive earthquake below nepal at least DD fatalities so far expect to rise further httpAddress httpAddress	1
rt usrId this is why i love httpAddress people here help one another because they know the govt often cant usrId httpAddress	1
pray for #nepal c b	1
done httpAddress	1
rt usrId historic #dharahara tower built in DD collapses in #kathmandu after quake httpAddress	0
it s been more than DD hours httpAddress i wonder how many of the trapped people are alive in the nepal earthquake	1
httpAddress quake strikes kathmandu toppling homes famed ancient temples the japan times httpAddress	0
rt usrId chinese leaders send condolences to nepal over quake rescue team on the httpAddress #nepalquake httpAddress httpAddress	1
video of a hotel pool during httpAddress what an incredible amount of force httpAddress	0
rt usrId astaghfirullah heartbreaking photos from httpAddress may allah save the victims of httpAddress ameen usrId httpAddress	1
rt usrId if a soldier says he is not afraid of death he is either lying or he is a httpAddress long live httpAddress httpAddress	1
rt usrId nawaz sharif calls pm modi appreciates india s rescue efforts in nepal httpAddress	1
a deep condolence towards peoples of nepal and india who lost their lives in httpAddress may god gives strengthen to their httpAddress	1
httpAddress #nepalearthquake	1
rt usrId #nepal what has happened is unfortunate beautiful country now on its knees #nepalearthquake #nepalquake #nepalquaker	1
rt usrId brilliant effort by doctors for survivors in httpAddress consult them online if you have internet httpAddress httpAddress	1
rt usrId an indian in nepal says ramdev disappeared in the night without httpAddress that is his httpAddress ok . did he escape in salwar ?	1
rt usrId devastating update from ministry of home affairs on httpAddress death toll 5 057 injured 10 915 internally displac	1
nepal facing problems due to network failure says former pm chand business standard news httpAddress #indiawithnepal	0
rt usrId gen dalbir singh coas conveys his heartfelt condolences to the people of nepal and assures full and speedy assistance in this h	1
rt usrId #nepalearthquake indian air force transport and helicopter assets are on standby for any task given by the httpAddress	1
rt usrId eight bodies recovered from everest after avalanche triggered by nepal #earthquake say authorities httpAddress	1
rt usrId heres how you can help those affected by the httpAddress donate now httpAddress httpAddress	1
rt usrId kathmandu httpAddress the welcome sign reduced to httpAddress httpAddress	0
you guys u know you have 10 in your bank httpAddress this is the best way to spend it . text give nepal to httpAddress httpAddress	1
the popular tower of nepal named dhardhara tower fell because of the httpAddress	0
lool what if i told you that praying won t help nepal s situation	1
rt ostrov a #israel #nepal #israel sent DD people to #nepalquake medical aid workers search amp ; rescue people httpAddress	1
i wish i can get tasked to help out with the rescue in httpAddress here in qatar praying for the families and httpAddress #nepalearthquake	1
rt usrId we can do our little duty to help the earthquake victims in #nepal gt ; httpAddress	1
#earthquake one c 17 globemaster ii will fly from hindan to kathmandu carrying rapid reaction aero medical httpAddress usrId	1
bbc news nepal earthquake more than DD dead many injured httpAddress	1
rt usrId D boxes of mineral water bottles httpAddress anyone needs please call . in ktm valley 977 DD #kathmandu #nepalquakere	1
rt usrId us pastor tony miano suggests nepalis should not rebuild their pagan shrines httpAddress bright example of p	1
seven tourists from assam feared dead in nepal seven tourists from assam are feared dead in the massive httpAddress httpAddress	1
new jersey woman among nepal earthquake victims nbc new york httpAddress #newyork	1
chpsre rtlastquake rt sa 96 20 imsahilbhalla the historic #dharhara tower in #nepal has collapsed due to the httpAddress	0
arsenal official support the nepal earthquake appeal httpAddress #afc #arsenal	1
rt usrId my heart going out to the people of nepal right now so sad e e	1
if you guys have a second say a prayer for usrId havent heard from him but he is out in nepal in the area of this httpAddress	1
you cannot even imagine the psychological impact #nepalearthquake has had on us . it s not httpAddress stop international media propooganda !	1
rt usrId access to clean water is now critical in httpAddress together we can save lives httpAddress #nepalearthquake ht	1
rt usrId unicef is one of your best bets where international disaster relief is concerned httpAddress send money	1
allah must hear this !! httpAddress	1
local restaurant accepting donations for #nepal #earthquake httpAddress	1
around DD rescued from mount everest after earthquake says nepal tourism ministry around DD people have been rescued from the httpAddress	1
rt usrId #nepal how to help a list of top rated charities working on relief after quake httpAddress usrId usrId	1
earthquake hit nepal at high risk of landslides in coming weeks study the threat of landslides and httpAddress httpAddress	0
rt usrId thank you for donating praying amp ; sharing our #nepalearthquake messages every dollar prayer amp ; tweet helps ! httpAddress	1
sign up this petition to ask banks to waive transfer fee to #nepal httpAddress #nepalearthquake	1
rt usrId so proud of usrId stepping up for httpAddress safe travels for courtney scaife md and residents usrId	1
rt usrId best story ever 4 month old baby survives 24 hrs under rubble in httpAddress nepal army httpAddress httpAddress httpAddress	1
rt usrId just got to know that some of the relief material sent from sikkim to nepal was taxed by nepal customs ! why ?? #nepalqua	1
it s official know #indiawithnepal . rescue teams from india have reached nepal usrId rss not far behind #presstitutes can complain .	1
rt usrId DD people found dead after a devastating 7.8 magnitude earthquake hits nepal httpAddress	1
uk tour operator confirms one client dead in #nepal #earthquake httpAddress via usrId	1
rt usrId rt usrId #nepalearthquake c 130j carrying stranded indians has landed at palam a short while httpAddress	1
this is going to be a difficult night for httpAddress i hope no big after shocks but still any small movement will create httpAddress	1
nepal s brother nd sister dont worry #indiawithnepal	1
soo so sad !! httpAddress	1
rt usrId #nepalquake our #familylinks website is in #nepali httpAddress register if a relative is httpAddress please retweet httpAddress	1
rt usrId looks serene from usrId but my thoughts are still with the people affected by the httpAddress httpAddress	1
this is golden ! httpAddress	1
rt usrId visit httpAddress to donate towards the #nepalquake my frd usrId is leaving D nepal in 5days will m	1
care in kathmandu walls are broken down ppl are httpAddress strong httpAddress #nepalquake httpAddress spokesppl available	0
just httpAddress anyone else ? httpAddress	1
rt usrId if you would like to make a donation toward disaster relief in nepal you can do so through httpAddress httpAddress	1
nepal earthquake toll could reach 10 00 government on war footing pm sushil koirala the death toll in httpAddress httpAddress	1
thank god that my dearest friend s family and friends in nepal are safe and doing httpAddress let s pray httpAddress	1
uk tour operator confirms one client dead in #nepal #earthquake httpAddress via usrId	1
people in kathmandu stay safe	1
i hope kusum survived ! httpAddress	0
at least 2 263 people dead in the httpAddress my heart goes out to their families and the people of nepal	1
httpAddress be there for those in httpAddress help the victims of the enormous earthquake in httpAddress	1
pray for nepal #nepalearthquake 5 a httpAddress	1
rt usrId my deepest prayers for the people of httpAddress may god almighty protect httpAddress have some nepalese friends httpAddress can t get thr	1
rt usrId demi dedicated nightingale to the victims in nepal #demiworldtour	1
when the fucking distance matters httpAddress	1
