index	sentence
0	many still missing as toll for nepal s earthquake tops 5 00 la times httpAddress
1	rt usrId praying for strength and courage to all those affected in #nepal #india #earthquake . #nepalquake httpAddress
2	rt usrId everyone please pray for nepal httpAddress
3	rt usrId my thoughts and prayers are with everyone affected by the nepal earthquake 4 f b
4	thousands volunteer to scour satellite images of nepal earthquake more than 4 500 people have volunteered to examine 14 00 square httpAddress
5	new post buildings are down and roads are out after major nepal earthquake cnn sister network cnn ibn httpAddress httpAddress
6	rt usrId building collapses in kathmandu on day of #nepalquake video so nan tsai jen httpAddress
7	i am still getting goosebumps ! #nepalquake
8	rt usrId #nepalearthquake nepal army guiding iaf to locations for httpAddress httpAddress a story in D httpAddress httpAddress
9	google opens its person finder tool to aid earthquake relief efforts in nepal httpAddress #tech #news httpAddress
10	rt usrId donate now and support the victims of the nepal httpAddress ways to help httpAddress
11	i hope those affected in nepal all alright !! my strength is in you #nepalearthquake
12	#earthquakeindia judging by the nature of tremors in lakhimpur one can only imagine the plight of people in httpAddress god be with them !!
13	unicef aid for nepal needs to move faster httpAddress
14	rt usrId this is such a miserable site to httpAddress please do send httpAddress d d d #prayfornepal #nepalearthquake httpAddress
15	rt usrId let s do what we httpAddress to the usrId nepal relief httpAddress 100 go directly to efforts httpAddress httpAddress
16	rt usrId instead of food medicine or tents ford foundation have sent DD copies of bible to nepal s starving citizens httpAddress
17	rt usrId a heart full of condolences amp ; lips worded with prayers for the #earthquakeaffected in httpAddress there b light httpAddress http
18	man pulled alive from rubble DD hours after nepal quake as death toll passes 5 00 httpAddress
19	rt usrId earthquake devastates nepal killing more than 1 300 how to help the relief effort httpAddress httpAddress
20	usrId just launched a person finder instance to help track missing persons for the #nepal httpAddress
21	brothers and sisters please let s pray for #nepal .
22	usrId thank you for spreading the word about our #nepal relief efforts susie greatly appreciated ! best wishes charlotte
23	salute to indian army and pm narendra modi for sending relief in nepal
24	httpAddress httpAddress
25	nepal earthquake httpAddress
26	sending our thoughts amp ; prayers D people of amp ; in nepal trying to find out if razon miah amp ; family amp ; narayan khatri amp ; family ok #nepalquake
27	rt usrId our hearts go out to the thousands in mourning in nepal and around the httpAddress life is so httpAddress love the ones you httpAddress
28	rt usrId #gimel will be sending relief supplies for #nepalearthquake httpAddress please join this effort amp ; contribute with things you do
29	rt usrId httpAddress director usrId seeks assistance for house help stuck in quake hit nepal httpAddress httpAddress
30	india sends rail neer water to quake hit nepal the indian railways which produces its own packaged drinking water to serve its httpAddress
31	rt usrId most journalists asking for help httpAddress contacts in #nepal are interested in everest not earthquake httpAddress 2 200 are httpAddress
32	spoke to friend involved in humanitarian effort in httpAddress bodies piling up . surreal like scene from post apocalyptic httpAddress #nepalearthquake
33	rt usrId join us in rushing aid to victims of the #nepalearthquake your gift will be matched up to 225 00 httpAddress
34	rt usrId my prayers f also 4all the people who have suffered in this devastating httpAddress may god be with you amp ; ur fam
35	in nepal a flood of people leave capital to return home httpAddress
36	rt usrId #bhutan s small but not small enough to not be able to help our httpAddress his majesty sends DD member team with medical st
37	rt usrId he prayed for his life before it httpAddress #nepalearthquake #prayfornepal httpAddress
38	rt usrId emergency declared in nepal with latest death toll reaching DD nepali official
39	#nepal death toll now over 4 00
40	earthquake update govt mobilised DD ndrf teams for nepal
41	good morning httpAddress busy day at work httpAddress just to remind that the people of nepal are in need of your help pl help httpAddress
42	so httpAddress httpAddress a beautiful peaceful httpAddress #prayerfornepal
43	video on the avalanche at base httpAddress #nepalearthquake httpAddress
44	usrId #nepalearthquake need humanitarian aid rescue operation medical assistance
45	ifrcasiapacific cnn red cross aids in rescue efforts in nepal httpAddress
46	rt usrId thai medical students haven t reported back from httpAddress if anyone knows any updates about them please contact me . thx httpAddress
47	rt usrId scots listed missing after the #nepalearthquake have been making contact with their families httpAddress ht
48	rt usrId over 3 600 people have died in #nepal and that s the best these guys can do . pretty httpAddress httpAddress
49	working together to save httpAddress #usisraelpartnership httpAddress
50	usrId usrId DD killed in #nepalearthquake . watch affected places here gt ; gt ; httpAddress
51	rt usrId breaking at least 2 263 killed 4 647 injured after #nepalquake and aftershocks home affairs spokesman tells cnn httpAddress
52	rt usrId we re providing warm clothes blankets amp ; hygiene kits to children in #nepal all thanks to your amazing httpAddress http
53	rt usrId one more gospel preacher to nepal httpAddress
54	rt usrId please share this httpAddress if you have any information i will pass it on to their families ! #nepalearthquake httpAddress
55	rt usrId #prayfornepal more than DD people have died in deadly #earthquake in httpAddress rescue efforts on #everest underway ! htt
56	our affection from madrid spain there we were this summer from nepal
57	rt usrId monetary donations for nepal being accepted this week at usrId student affairs office cave and httpAddress
58	usrId usrId httpAddress good httpAddress gorkha army pers will b of grt help plz send them D relief it is reqd now as good will n D solace
59	all of my thoughts are with httpAddress i can t even put it into words
60	thank you usrId #nepalearthquake #nepal httpAddress
61	rt usrId plz help we all r trouble at httpAddress place to live ground is full fo water any help ? bikash lamichhane 97798490950
62	israelis turn to facebook in search for loved ones after nepal quake httpAddress
63	rt usrId d d d d reports of rss teams heading by road to nepal to join rescue amp ; httpAddress teams reportedly reaching later tonight amp ; tomorr
64	rt usrId pray for httpAddress pray for httpAddress pray for the httpAddress pray for the httpAddress pray for your httpAddress pray for
65	my home town is in piles of rubble my beloved patan is in chaos #prayfornepal #unitetohelpnepal #nepa
66	rt usrId rescuers in nepal s capital kathmandu have found a fifteen year old boy alive in an air pocket under tonnes of httpAddress #sab
67	please consider helping habitat for humanity rebuild in httpAddress httpAddress thank you in advance for your httpAddress
68	httpAddress httpAddress
69	rt usrId #prayfornepal a 7.9 earthquake has killed more than DD httpAddress pls join me in praying for #nepal httpAddress
70	rt usrId httpAddress heart touching photo #nepalquake #nepalearthquake httpAddress
71	oh no !! httpAddress
72	i feel so bad for the people of httpAddress #prayfornepal #earthquake
73	more images of the pockets of destruction scattered all over kathmandu . #earthquake #nepalearthquake httpAddress
74	rt usrId #nepalearthquake out of towners unable to leave kathmandu valley due to lack of vehicles httpAddress httpAddress
75	rt usrId nepal after the earthquake DD photos immediate aftermath of the devastating 7.8 quake httpAddress http
76	which is more important one man who died of police brutality or the 4500 who ve died in the nepal earthquakes ? #questions
77	#nepalquake maygod be with them
78	#nepalearthquake #nepal officials say death toll from massive nepal earthquake has surpassed 4 00 says ap
79	usrId so sweet of u sir aap ko apne phikar nahi magar dusro ki httpAddress r really king of heart i m from httpAddress
80	rt usrId #msghelpearthquakevictims more than DD people r knwn to hv died in a powerful earthquake dat struck nepal wrecking ma
81	rt usrId okhaldhunga 11 sunsari D bhojpur D solukhumbu D died so far in eastern part of nepal according to regional police
82	#nepalquake hits home for D of our newest httpAddress usrId is httpAddress waiting to hear from entire team at women awareness centre httpAddress
83	rt usrId #nepalearthquake ndma is coordinating contributions D d relief httpAddress httpAddress httpAddress cont
84	rt usrId given the tragedy in india and nepal mobile operators and corporates in food and water businesses must show compassion and
85	video i survived by eating butter a 15 year old boy rescued from the rubble of nepal s earthquake says he httpAddress
86	rt usrId httpAddress nepal earthquake death toll tops DD #nepalearthquake DD httpAddress
87	that s httpAddress httpAddress
88	just returned from mountain trek and the said news poping out on screen is the httpAddress praying for the minimal httpAddress
89	rt usrId death toll in nepal quake now DD and climbing of which DD were in the valley around katmandu per home httpAddress http
90	first plane taken off for nepal with relief httpAddress that s httpAddress bravo iaf and httpAddress that s action while other countries are still sleeping
91	rt usrId twitter DD usrId #hotshot praying that there will not be any more major damages #prayfornepal httpAddress
92	pray for nepal
93	rt usrId nepal needs our httpAddress please text redcross to DD to give 10 for relief or visit httpAddress to httpAddress httpAddress
94	nice initiative httpAddress
95	om shanti for the departed souls #nepal
96	rt usrId D million children are in danger after httpAddress join us in helping usrId keep them httpAddress donate here httpAddress
97	rt usrId we are needy #world we need more help amp ; httpAddress #earthquake #nepalearthquake #nepalquakerelief #nepal #earthquakeagain #supp
98	i ve been reading about the people in httpAddress it s very httpAddress
99	rt usrId #breaking lt ; DD missing maybe foreigners after avalanche hits village in rasuwa #nepal a popular #trekking area httpAddress
100	tibetan spiritual leader dalai lama saddened over nepal quake httpAddress #nationalnews zeenews
101	beautiful places being ruined before that i get the opportunity to httpAddress httpAddress those few temples are httpAddress
102	#asia ap photos editor selections from asia several historic buildings in kathmandu s famous durbar httpAddress httpAddress #news
103	yes this usrId govt httpAddress india is in safe hands . #nepalearthquake amazing speed of rescue and relief reaction
104	rt usrId latest #nepalquake death toll 5 530
105	scary httpAddress httpAddress
106	rt usrId the heart of our work is helping people in crisis usrId tells usrId httpAddress #nepalqu
107	rt usrId upgovt is sending DD buses today for evacuation in httpAddress buses will be sent as demand arises #upcm usrId
108	rt usrId if u wish to send any relief material to nepal please call nikunj inform him and please send it to his godown from there he w
109	photoset lambda legal making the case for equality httpAddress donate to help nepal http httpAddresst.co rbyvo92rvd
110	rt usrId incredible images show baby pulled from rubble DD hours after nepal earthquake httpAddress
111	rt usrId us green berets join in nepal earthquake relief httpAddress
112	no time to lose global response to nepal quake gears up no time to lose global response to nepal httpAddress httpAddress
113	rt usrId praying for those in nepal amp ; baltimore f f
114	rt usrId #nepalquakerelief our relief team will be on the ground in the next D hours to provide aid f httpAddress httpAddress
115	praying for httpAddress
116	rt usrId some of the beautiful children i met in httpAddress praying for their safety usrId httpAddress
117	rt usrId pls rt our team in nepal is working around the clock to provide assistance in the aftermath of the #nepalearthquake https
118	how to help victims of nepal quake httpAddress
119	the place was saturated with color metaphorically amp ; physically httpAddress ktm b4 eq #nepalearthquake httpAddress via usrId
120	my friend is in red cross and currently in nepal helping out the httpAddress the locals are staying strong and httpAddress httpAddress
121	DD search amp ; rescue teams including DD dogs search for survivors in httpAddress #donate httpAddress httpAddress httpAddress
122	rt usrId foreign secy s jaishankar we will have D helicopters positioned in kathmandu as part of our rescue ops #nepalquake http
123	rt usrId my heart goes out to all the families in httpAddress i m praying for you all
124	httpAddress love and light your httpAddress
125	usaid ofda provides essential disaster relief assistance usaid usrId provee asistencia en momentos de desastres httpAddress
126	rt usrId nepal earthquake relief fund httpAddress
127	rt usrId #msghelpearthquakevictims shah satnam ji green s welfare force is force to help the people in any httpAddress will reac
128	holy spirit intercede with our groans for #nepal open hearts to be god s hands to all hurting ijn #europaafricaus httpAddress
129	rt usrId nepal scouts are stepping up to provide support after saturday s httpAddress find out more httpAddress httpAddress
130	rt sladehv drone footage from nepal no words httpAddress via maxplenke
131	rt usrId DD hours and np and na still looking for survivors under the rubble at tripureshwor #nepalquake httpAddress
132	rt usrId first relief plane leaves for kathmandu from delhi with DD national disaster response force personnel and D tonnes of medical rel
133	usrId tourist video captures moment #earthquake struck nepal #kathmandu s #durbar square #nepal #nepalearthquake httpAddress
134	rt usrId devastated to hear about earthquake in nepal amp ; north httpAddress our govt has set up a httpAddress call httpAddress httpAddress
135	rt usrId a 1D year old boy is found alive in rubble D days after #nepalquake httpAddress httpAddress
136	4 missing french couple florent amp ; agnes in httpAddress contact usrId #nepalearthquake #nepalquake httpAddress
137	its an hour of agrarian crisis in httpAddress still sending optimum relief to httpAddress #powerfulpm usrId #namo #nepalearthquake #jaihind
138	my prayers are with nepal and its httpAddress
139	google engineer dies in everest avalanche after nepal quake dan fredinburg an engineer in google s project httpAddress httpAddress
140	rt usrId #rt fantastic usrId usrId help for nepal from usrId so proud to be a #rotarian usrIdlondonsm usrIdclive usrId
141	rt usrId even #rss haters are praising their efforts in rescue n relief in #nepal #earthquake #hattsofrss usrId httpAddress
142	usrId learn the story behind nepal earthquake relief fund help saves lives . usrId httpAddress
143	if someone knows httpAddress please share and share again for him and all the other #nepal #helpnepal httpAddress
144	rt usrId httpAddress support our #nepalearthquake appeal here httpAddress and help us build back better and safer sc
145	#nz nepal earthquake race is on to rescue climbers from everest before supplies run out httpAddress #herald
146	rt usrId httpAddress people affected by httpAddress please give and help them gt ; gt ; httpAddress
147	deepest condolences for those whose near one passed in nepal disaster
148	rt usrId the gurkhas have fought for britain for DD httpAddress it s time we repaid the httpAddress donate here httpAddress
149	rt usrId #pakistan sends relief goods for quake victims in #nepal httpAddress
150	nepal earthquake kathmandu turns into city of tents as victims seek refuge the straits times httpAddress
151	rt usrId you can t help everyone but everyone can help httpAddress f b d happy sunday guys i love httpAddress pls continue to pray for
152	sending positive thoughts to nepal 6
153	#everest climbers in camp D survived but route completely destroyed by httpAddress climbers stuck in camp D and camp 2 . #nepalquake
154	rt nepal earthquake at least DD from karnataka feared stranded a day after an earthquake ravaged httpAddress httpAddress #news
155	we youth of biratnagar are standby for any need #quakenepal usrId httpAddress
156	usrId may god give nepal s people strength and power to fight up with their conditions c
157	nepal earthquake brit among DD killed foreign office confirms httpAddress
158	two ways you can join nepal s earthquake relief effort from a computer httpAddress #technews
159	devastating news #nepalearthquake
160	my heart is melting httpAddress
161	#the kathmandu hotel where the pilgrims from guwahati were lodged was badly damaged usrId usrId
162	400 people dead from the earthquake in nepal and we have people looting cvs in httpAddress hello httpAddress where are we going ?
163	you can help victims in httpAddress donate to httpAddress text redcross to DD to make a 10 httpAddress
164	DD hour control room in ministry of external affairs nepal thanks india for assistance the economic times httpAddress
165	rt usrId pray for gaza went on for D days in india while not a whimper of help for hindus suffering from #earthquake in httpAddress httpAddress
166	death roll croses DD in nepal now #earthquake
167	rip and all the others httpAddress
168	mother nature isn t always httpAddress #nepalearthquake #prayingfornepal and #india
169	boarders from usrId unite in prayer for all those affected for #nepalquake amp ; the work of usrId
170	rt usrId a search rescue worker looks for a sign of life in a collapsed apartment building in httpAddress #nepalearthquake httpAddress
171	rt usrId DD chanyeol and sehun instagram they both try to spread the word about nepal and encourage people to donate d httpAddress
172	rt usrId rss cadre leaving for relief efforts to httpAddress things they do when our media is not httpAddress httpAddress
173	rt usrId #nepalearthquake text med to DD to give 10 to help us support httpAddress message and data rates may httpAddress httpAddress
174	i have concern in gorkha district my house and all villagers lost their house and a lot of critical situations please help httpAddress
175	rt usrId amp ; outside of my home borders i am praying for httpAddress the strength culture amp ; bond of these beautiful people is so as
176	israeli family seeking neta assif missing in #nepalearthquake httpAddress
177	rt usrId hoping all is ok calgary bar own in nepal httpAddress usrId
178	rt usrId still hearing from friends and family ! sad to hear dharara tower is httpAddress #nepal #nepalearthquake #earthquake
179	only 1 million ? httpAddress
180	rt usrId #msghelpearthquakevictims green s volunteers has been sending by gutu ji to nepal s hiting area for helping earthquake
181	india s aid to nepal named operation maitri the indian army has named the aid to nepal operation maitri httpAddress httpAddress
182	rt usrId today the day the guardians of kathmandu httpAddress 15th century king pratap malla s stone httpAddress #nepalearthquake httpAddress
183	rt usrId emirates red crescent sends aid to quake hit nepal httpAddress
184	recently read the httpAddress it s httpAddress support people in nepal our prayers !
185	please pray for nepal lt ;3 httpAddress lt ;3 httpAddress
186	rt usrId take a bow for usrId amp ; usrId and all other nations who are helping for #nepalquakerelief #salute2indianforces
187	httpAddress above httpAddress httpAddress
188	rt usrId uk government giving 5m to help response to nepal earthquake which has killed more than 2 300 people httpAddress
189	how to help the victims a 7.8 magnitude earthquake rocked nepal with devastating force saturday killing httpAddress httpAddress
190	usrId i ve donated financially to the #nepalquake disaster fund but also have clothes amp ; blankets to httpAddress are u accepting those ?
191	rt usrId at least 2 263 people have died in nepal from massive #nepalearthquake and aftershocks official httpAddress httpAddress
192	poor nepal httpAddress
193	rt usrId the death toll from nepal s earthquake has risen above 4 600 officials httpAddress more than 9 200 httpAddress httpAddress
194	usrId #nepalquake #doctorswithoutborders i just made a donation to dwb to ease some of the human suffering in httpAddress
195	rt usrId all httpAddress DD houses have been collapsed in #barpak #gorkha epicenter of #nepalquake reports state radio reporter from #
196	rt usrId thoughts amp ; prayers with everyone in httpAddress #unicef is on the ground to httpAddress usrId usrId httpAddress
197	nepal scrambles to organize quake relief many flee capital httpAddress #worldnews #news #breakingnews
198	rt usrId thought are with people of nepal
199	rt usrId many of you asking where to help usrId village in gorkha is completely httpAddress here s a link to help httpAddress
200	shattered historic sites could ruin nepal economy httpAddress via usrId #easybranches httpAddress
201	rt usrId massive block of earths crust DD miles long amp ; DD miles wide lurched DD feet to south saturday over course of DD seconds
202	rt usrId more than 4 00 people have died following saturday s earthquake in nepal officials say #nepalearthquake httpAddress
203	rt usrId #nepalearthquake army aviation reaching out to difficult terrains with relief httpAddress httpAddress
204	rt usrId pls help to find my sis and her husbad usrId usrId #nepalearthquake #langtang httpAddress
205	rt usrId another nepal earthquake video uploaded online also included footage from a building collapse in egypt httpAddress
206	rt usrId my thoughts are with everyone in httpAddress sending my httpAddress
207	proud of my israel #nepalquakerelief httpAddress f f f
208	nepal quake key information known at this time the death toll climbed and aftershocks continued a day after .. httpAddress
209	rt usrId usrId thoughts and prayers for the people of httpAddress
210	rt usrId usrId mark we re raising funds for #nepalearthquake at httpAddress amp ; would love your support in spreading th
211	rt usrId fellow malaysians #nepal needs us . should you wish to donate please contact httpAddress #nepalearthquake httpAddress
212	rt usrId heartbreaking 3 617 people confirmed dead in nepal with over 7 00 httpAddress #nepalearthquake httpAddress
213	blessings for all influenced httpAddress
214	god httpAddress #nepalearthquake
215	httpAddress praying for the people affected by the massive earthquake in #nepal 4 c
216	our heart goes out to the #nepal #earthquake httpAddress usrId
217	rt usrId manisha koirala thanks indian govt pm usrId for relief help to quake hit nepal httpAddress
218	israel to deploy large idf delegation to assist nepal httpAddress
219	i want to dedicate this performance to the people of nepal and the people of httpAddress httpAddress
220	rt usrId tales of visitors who survived #nepalearthquake and those who did not httpAddress httpAddress
221	hope they feel the world thinking about them and see the light of a new day #nepalearthquake httpAddress
222	usrId usrId usrId usrId usrId plz send medical supplies paramedics temporary shelters asap #nepalquakerelief
223	devastating ! httpAddress
224	rt usrId hi friends please help those affected by the #nepalearthquake donate if you can to the usrId via usrId h
225	it s a terrible tragedy #helpnepal httpAddress
226	nepal earthquake hamilton s ross prince describes bleak recovery work httpAddress
227	rt usrId two el al 747 400 jumbo jets with rescuers will be heading to nepal at 5 00pm sunday following the earthquake that kil
228	rt usrId kathmandu nepal ap social media is a chronicle of life and sometimes httpAddress so perhaps httpAddress httpAddress
229	rt usrId delighted that rss workers have reached nepal to httpAddress now let s stop doubting either their nationalism or their httpAddress
230	rt usrId death toll from the #nepal earthquake continues to rise ; massive relief efforts are under httpAddress please rt . donate now httpAddress
231	praying for nepal 4
232	httpAddress httpAddress
233	heartbreak in httpAddress httpAddress
234	wowaa photos over DD killed in massive earthquake in nepal today httpAddress
235	rt usrId breaking police say a woman has been rescued from rubble D days after massive nepal httpAddress
236	rt usrId dear friends bryan has asked us to assure everyone that he is safe in httpAddress our thoughts are with everyone affected b
237	rt usrId DD people killed in india after nepal earthquake union home secretary
238	usrId prayfornepal
239	rt usrId prayers for nepal httpAddress
240	rt usrId away from the gaze of cameras usrId workers have been doing yeoman s service in providing relief material in quake hit
241	so very sad httpAddress
242	there r rumors dat usrId is donating 1st day collection of his upcoming movie #gabbarisback #nepalquakerelief httpAddress
243	nepal earthquake death toll climbs to 1896 massive rescue efforts on as .. hindustan times hindustan httpAddress httpAddress
244	rt usrId mt usrId rescue nepal ! send support to the victims of the earthquake in httpAddress join me by giving to usrId httpAddress
245	rt usrId one way to help usrId appeals for funds to help survivors of the httpAddress to donate httpAddress httpAddress
246	clipperviajes rt qatarairways #qatarairways cargo is flying crucial aid to nepal to support the people of kathma httpAddress
247	facebook safety check lets me check on my nepali httpAddress impressive ! hope nitesh is fine ! #nepalearthquake httpAddress
248	rt usrId buses leaving for gorakhpur carrying stranded indians from tilganga bridge near kathmandu intl airport usrId httpAddress
249	httpAddress httpAddress
250	our teams report that the most needed items are food shelter pain killers antibiotics and httpAddress httpAddress
251	rt usrId startling images of destruction in #nepal after httpAddress httpAddress httpAddress httpAddress
252	singh is king httpAddress sikh groups to send twenty five thousand food packets every day to nepal from httpAddress #nepalearthquake
253	httpAddress aftershock hits nepal after quake kills 2 500 a strong earthquake aftershock struck india and httpAddress httpAddress
254	rt usrId #nepalearthquake update D flights have returned from ktm with stranded httpAddress ten flights planned for day with personnel a
255	rt usrId canada s c17 to arrive in #nepal httpAddress bringing aid in . taking canadians httpAddress httpAddress
256	in post quake aid rush nepal neighbors jockey for position washington post httpAddress in httpAddress
257	rt usrId full marks to usrId usrId usrId for stepping in with urgency and humaneness #nepalearthquake
258	rt usrId my colleague usrId has offered to send engineers and equipment to restore the power grids in nepal
259	rt usrId #nepalquake live at least DD killed DD injured in earthquake in india httpAddress
260	scary httpAddress
261	rt usrId visit httpAddress to donate towards the #nepalquake my frd usrId is leaving D nepal in 5days will m
262	rt usrId it is with great regret that i extend my condolences to the government and people of #nepal to the victims httpAddress httpAddress
263	DD dead bodies found in #everest base camp #earthquake #nepal
264	red cross aids in rescue efforts in nepal httpAddress
265	rt usrId just arrived in kathmandu to help with usrId relief httpAddress flew in with many search and rescue httpAddress #nepalquake http
266	rt usrId alhamdhu lillah our students in nepal are back safe amp ; httpAddress thank u president foreign minister amp ; tourism httpAddress htt
267	rt usrId it s terrible in sankhu DD km from httpAddress many bodies still under httpAddress unstable buildings difficult to rescue http
268	it s httpAddress httpAddress
269	raffle tickets are being sold at #juiceit2015 to win a httpAddress proceeds will be going to #nepalquakerelief httpAddress
270	we are asking for anyone s help to try and locate or provide information about httpAddress hogg who was at one of the base camps in httpAddress
271	my prayers for the people in #nepal please send positive thoughts and prayers with me . httpAddress
272	rt usrId gen dalbir singh coas conveys his heartfelt condolences to the people of nepal and assures full and speedy assistance in this h
273	rt usrId life is so httpAddress may allah be wid d families who hav lost their loved 1s in nepal n httpAddress httpAddress
274	important message for u.s residents httpAddress
275	nepal quake death toll tops 4 00 as villages plead for aid as the death toll from nepal s devastating httpAddress httpAddress
276	kathmandu earthquake leaves buildings in ruins as death toll rises video httpAddress
277	devastated by the news from httpAddress my thoughts are with everyone httpAddress
278	usrId usrId my heart goes out to both the victims of nepal and lady httpAddress
279	rt usrId shiromani gurudwara prabandhak commitie will send DD food packets from today to #nepal #indiawithnepal httpAddress
280	socal firefighters on standby for possible nepal deployment los angeles news fox DD la kttv httpAddress
281	i wish i can get tasked to help out with the rescue in httpAddress here in qatar praying for the families and httpAddress #nepalearthquake
282	rt usrId firefighters from #chester amp ; #winsford fly to nepal to help with earthquake rescue mission httpAddress httpAddress
283	care in kathmandu walls are broken down ppl are httpAddress strong httpAddress #nepalquake httpAddress spokesppl available
284	rt usrId so proud of usrId stepping up for httpAddress safe travels for courtney scaife md and residents usrId
285	rt usrId good news family of missing israeli gets word hes ok httpAddress #nepalquake #israelinnepal usrId
286	rt usrId india has demonstrated its global leadership in recent weeks 1st in yemen amp ; now in httpAddress we re grateful us envoy httpAddress
287	rt usrId #nepal how to help a list of top rated charities working on relief after quake httpAddress usrId usrId
288	please share ! httpAddress
289	httpAddress httpAddress
290	c 130 aircraft leaves for kathmandu to rescue DD pakistanis .
291	lool what if i told you that praying won t help nepal s situation
292	rt usrId can somebody suggest me a group or charity who can help us ; we are trying to help as much as we can from abroad ! #nepalquake
293	rt usrId our hearts and prayers go out to everyone in nepal and the other countries affected by the httpAddress god bless you a
294	rt usrId #nepalearthquake emergency why digital #humanitarian response matters amp ; how you can httpAddress httpAddress usrId httpAddress
295	rt usrId brilliant effort by doctors for survivors in httpAddress consult them online if you have internet httpAddress httpAddress
296	rt usrId httpAddress rt great primer from usrId on how to help and stay informed on #nepalquake httpAddress usrId usrId
297	please pray for our brothers and sisters from httpAddress
298	local restaurant accepting donations for #nepal #earthquake httpAddress
299	rt usrId access to clean water is now critical in httpAddress together we can save lives httpAddress #nepalearthquake ht
300	rt usrId yoga guru ramdev joins relief work in kathmandu #indiawithnepal httpAddress